epoch,accuracy,loss,val_accuracy,val_loss
0,0.3611956834793091,1.3315178155899048,0.44668588042259216,1.2854418754577637
1,0.6526432037353516,0.99412602186203,0.6628242135047913,0.9222560524940491
2,0.7910323739051819,0.5873961448669434,0.6887608170509338,0.7733889818191528
3,0.845557689666748,0.41069990396499634,0.7146974205970764,0.7629189491271973
4,0.8815388679504395,0.32817181944847107,0.7146974205970764,0.7637650370597839
5,0.9092167019844055,0.26442432403564453,0.6916426420211792,0.808434009552002
6,0.9258233904838562,0.2230902463197708,0.6974063515663147,0.8608842492103577
7,0.9388319849967957,0.18243303894996643,0.6657060384750366,0.9457113146781921
8,0.9474121332168579,0.1576361060142517,0.6714697480201721,1.0084784030914307
9,0.9604207277297974,0.1365438848733902,0.6743515729904175,1.056413173675537
10,0.9656794667243958,0.1135053038597107,0.6772334575653076,1.1463022232055664
11,0.9684472680091858,0.11078308522701263,0.6772334575653076,1.1650910377502441
12,0.9701079726219177,0.09856686741113663,0.6743515729904175,1.201755166053772
13,0.9723221659660339,0.09404599666595459,0.6916426420211792,1.2705429792404175
14,0.972045361995697,0.08901168406009674,0.6743515729904175,1.3130501508712769
15,0.9753667116165161,0.08215048909187317,0.6829971075057983,1.3348350524902344
16,0.974259614944458,0.08357162028551102,0.6743515729904175,1.4090631008148193
17,0.9753667116165161,0.07879533618688583,0.6743515729904175,1.392414927482605
18,0.9748131632804871,0.08205262571573257,0.6858789920806885,1.3979426622390747
19,0.977027416229248,0.07016206532716751,0.6743515729904175,1.438938856124878
20,0.977027416229248,0.06687074154615402,0.6772334575653076,1.4588146209716797
21,0.977027416229248,0.06401121616363525,0.680115282535553,1.4631420373916626
22,0.9773041605949402,0.0666961520910263,0.6657060384750366,1.5541526079177856
23,0.976473867893219,0.061095912009477615,0.6685879230499268,1.5342373847961426
24,0.9784113168716431,0.057932883501052856,0.6714697480201721,1.5240081548690796
